flngCustomerKey,fblnAuditSuccesful,fstrFiling,fintPreviousAudits,flngSiteCount,fcurTotalReceipts,fcurUseTax,fcurWages,flngCollectCount,flngPaymentCount,fblnHasCigAcct,fblnHasLiqAcct,flngYearsOpen,fcurCorpIncome,fblnInState,fstrNAICS,fdblPercentFiledOnTime,flngOtherAcctCount,flngTotalCRMNotes,flngEmployeeCount,fstrFDSWebDomain,flngFDSEmployeeCount,fcurFDSPropertyStateValue,fstrFDSSalesVolume,flngFDSLocationCount,fstrFDSExpenses,fstrFDSCreditRating,fstrFDSRating,fstrFDSBusinessComplexity,fstrFDSBusinessCollectability,fblnFDSBusinessActive,flngFDSLienCount,flngFDSUCCFilingsCount,flngFDSBankruptcyCount,flngFDSCurrentVehicleCount,flngFDSAircraftCount,flngFDSPropertyStateCount,flngFDSAddressStateCount,fblnFDSSubsidiaries,fblnFDSFranchise,fdblFDSPcntAgriculture,fdblFDSPcntConstruction,fdblFDSPcntFinancial,fdblFDSPcntGovernment,fdblFDSPcntHealthCare,fdblFDSPcntInformation,fdblFDSPcntHospitality,fdblFDSPcntManufacturing,fdblFDSPcntOther,fdblFDSPcntProfessional,fdblFDSPcntRestaurant,fdblFDSPcntRetail,fdblFDSPcntTransportion,fdblFDSPcntWholesaleTrade,fstrFDSPrimaryBusiness
28365312,1,ST1MO,0,1,500000,0,10000,0,21,1,1,3,10000,1,447110,0.38,3,6,0,NONE,0,0,MEDIUM,2,MEDIUM,HIGH,UNKNOWN,LOW,LOW,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
28365312,1,ST1MO,1,1,500000,0,50000,0,53,1,1,4,10000,1,447110,0.46,3,51,0,NONE,0,0,MEDIUM,2,MEDIUM,HIGH,UNKNOWN,LOW,LOW,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NONE
28533248,1,ST1MO,0,1,0,0,0,0,9,0,1,3,0,1,561210,0.25,3,1,0,COM,16,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
28533248,0,ST1MO,1,1,500000,0,100000,1,59,0,1,7,0,1,561210,1,3,37,0,COM,16,0,MEDIUM,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
28570624,0,ST1MO,0,5,50000,10000,50000,1,80,0,0,5,50000,1,238161,0.68,3,105,11,COM,5,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
28570624,1,ST1MO,0,1,0,10000,0,0,49,0,0,4,50000,1,238161,0,3,40,11,COM,5,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
28787712,0,ST1MO,0,1,100000,0,100000,0,52,0,0,25,10000,1,811121,0.57,4,44,0,COM,1,0,MEDIUM,1,MEDIUM,HIGH,UNKNOWN,LOW,MEDIUM,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
28992000,0,ST1MO,0,1,50000,0,0,0,18,0,0,15,0,0,NULL,0.97,1,3,0,COM,1117,0,MEDIUM,9,HIGH,HIGH,UNKNOWN,LOW,HIGH,1,0,0,0,2,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FINANCIAL
29168128,0,ST1MO,1,1,100000,10000,5000000,0,28,0,0,29,1000000,1,333914,0.38,5,84,134,COM,65,300945,MEDIUM,4,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,1,0,0,22,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,MIX
29168128,0,ST1MO,2,5,500000,10000,5000000,1,65,0,0,31,1000000,1,333914,0.92,6,249,134,COM,65,300945,MEDIUM,4,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,1,0,0,22,0,1,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,MIX
29207040,0,ST1MO,0,5,1000000,50000,1000000,1,106,0,0,3,0,0,423710,0.12,3,26,26,COM,2898,7137320,MEDIUM,2,HIGH,MEDIUM,UNKNOWN,LOW,HIGH,1,11,0,0,45,1,4,1,1,0,0,0,0,0,0,0,0,0.6667,0,0.1667,0,0.1667,0,0,MANUFACTURING
29272064,0,ST1AN,0,1,0,10000,1000000,0,13,0,0,10,0,1,236220,0.53,3,11,40,COM,488,0,MEDIUM,1,HIGH,HIGH,UNKNOWN,LOW,HIGH,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CONSTRUCTION
29405184,0,ST1MO,0,1,500000,0,50000,1,50,0,0,22,0,0,333415,0.84,2,26,0,COM,130,3167000,MEDIUM,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,MANUFACTURING
29485312,0,ST1AN,0,1,0,0,0,0,0,0,0,3,0,0,238992,0,1,9,8,COM,87,0,MEDIUM,2,MEDIUM,LOW,UNKNOWN,LOW,HIGH,1,0,29,0,12,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CONSTRUCTION
29560832,1,ST1MO,0,1,25000000,0,5000000,1,29,0,0,23,0,1,333112,1,3,72,260,COM,157,0,MEDIUM,1,HIGH,MEDIUM,UNKNOWN,HIGH,HIGH,1,0,28,0,16,0,0,1,1,0,0,0,0,0,0,0,0,0.7143,0,0,0,0.1429,0,0.1429,MANUFACTURING
29571072,0,ST1MO,0,1,500000,0,500000,1,44,0,0,9,50000,1,332313,0.24,4,130,36,COM,16,0,LOW,1,HIGH,MEDIUM,LOW,LOW,HIGH,1,1,20,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.4,MANUFACTURING
29882368,0,ST1AN,0,1,0,0,0,0,0,0,0,6,0,0,621999,0,4,15,20,COM,84,0,LOW,3,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,1,0,0,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PROFESSIONAL
30171648,1,ST1MO,0,1,0,10000,1000000,0,18,0,0,2,0,0,325991,0.33,3,16,54,NONE,0,4913390,HIGH,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
30171648,1,ST1MO,1,1,100000,10000,5000000,0,43,0,0,5,0,0,325991,0.84,3,27,54,NONE,0,4913390,HIGH,2,MEDIUM,HIGH,UNKNOWN,LOW,HIGH,1,0,17,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,OTHER
30319616,0,ST1MO,1,1,50000,0,1000000,2,62,0,0,10,5000000,0,NULL,0.76,3,110,0,COM,41,16260650,MEDIUM,1,HIGH,LOW,UNKNOWN,LOW,HIGH,0,0,56,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.6667,0,0,0.3333,0,PROFESSIONAL
