fbln1YearWebPayment,fblnAddressChange3Months,fblnAllAccountsCeased,fblnAllAccountsOpen,fblnAllTimeAuditCount,fblnAutomatedLetterSent,fblnDeactivatedCredit1Year,fblnInState,fblnNameChange3Months,fblnNonfiler,fblnPhoneChange3Months,fcurAuditPostings,fcurBalance,fcurMaxWebPayment1Year,fcurMinWebPayment1Year,flngAccountCount,flngAccountsWithBalanceCount,flngCeasedAccountCount,flngDaysOpen,flngDaysSinceLastCollection,flngOpenAccountCount,flngOpenPeriodCount,flngPriorCollectionsCount,fstrCollectDistrict,fstrCustomerType,fstrTaxType,fblnTargetSelfCured
0,0,0,1,0,0,0,1,0,0,0,0,71.27,0,0,1,1,0,1,-1,1,0,0,District 13,PAR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,202.77,0,0,1,1,0,1,-1,1,0,0,District 16,TRS,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,46.16,0,0,1,1,0,1,-1,1,0,0,District 4,SCO,Corporate Income,1
0,0,0,0,0,0,0,1,0,0,0,0,397.7,0,0,2,2,1,1,-1,1,0,0,District 8,SCO,Corporate Income,1
1,0,0,1,0,0,0,0,0,0,0,0,16834.88,2783.35,7.05,3,2,0,1,-1,3,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,52.4,0,0,3,2,0,1,2171,3,0,1,District 2,SCO,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,0,0,343.9,0,0,3,1,3,1,-1,0,0,0,District 16,SCO,Corporate Income,1
0,0,0,1,0,0,0,0,1,0,0,0,6622.73,0,0,4,4,0,1,-1,4,0,0,District 1,PAR,Corporate Income,0
0,0,0,1,6,0,0,0,0,0,0,65988.76,15827.01,0,0,4,3,0,1,96,4,0,1,District 0,COR,Corporate Income,0
1,0,0,1,0,0,0,1,0,0,0,0,514.48,1909,47.38,4,4,0,1,347,4,0,1,District 2,SCO,Corporate Income,1
0,0,0,0,0,0,0,0,0,0,0,0,509,0,0,8,3,2,1,378,6,0,1,District 7,SCO,Corporate Income,1
0,0,0,1,0,0,1,0,0,0,0,0,848067.2,0,0,3,3,0,1,317,3,0,1,District 1,PAR,Pass Through,0
0,0,0,0,0,0,0,1,0,0,0,0,658.81,0,0,3,2,1,1,214,2,0,1,District 2,SCO,Sales,1
0,0,0,0,0,0,0,1,0,0,0,0,89.89,0,0,3,2,1,1,469,2,0,1,District 13,COR,Sales,1
0,0,0,0,0,0,0,1,0,0,0,0,41.4,0,0,4,1,3,1,-1,1,0,0,District 7,SCO,Sales,1
1,0,0,0,5,0,0,1,0,0,0,9696696.28,19795.22,298.03,298.03,6,4,2,1,945,4,0,1,District 2,COR,Sales,0
1,0,0,1,0,0,0,1,0,0,0,0,14643.64,18958.21,25,7,6,0,1,11,7,0,1,District 2,COR,Sales,0
0,0,0,1,0,0,0,1,0,0,0,0,9871.38,0,0,3,1,0,1,26,3,1,1,District 2,NON,Withholding,0
0,0,0,1,0,0,0,0,0,0,0,0,162.8,0,0,1,1,0,2,-1,1,0,0,District 0,PAR,Corporate Income,1
0,0,0,1,0,0,0,0,0,0,0,0,10185.68,0,0,1,1,0,2,-1,1,0,0,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,183124.23,0,0,1,1,0,2,-1,1,0,0,District 13,TRS,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,245.94,0,0,1,1,0,2,-1,1,0,0,District 2,PAR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,943.69,0,0,1,1,0,2,-1,1,0,0,District 2,TRS,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,9115.01,0,0,1,1,0,2,-1,1,0,0,District 2,TRS,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,257778.28,0,0,1,1,0,2,375,1,0,1,District 13,TRS,Corporate Income,0
0,0,0,1,0,0,0,0,0,0,0,0,4372.07,0,0,1,1,0,2,63,1,0,1,District 1,COR,Corporate Income,1
0,1,1,0,0,0,0,0,1,0,1,0,193.34,0,0,1,1,1,2,-1,0,0,0,District 1,SCO,Corporate Income,1
0,0,1,0,0,0,0,0,0,0,0,0,4653.16,0,0,1,1,1,2,-1,0,0,0,District 1,PAR,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,0,0,226.68,0,0,1,1,1,2,-1,0,0,0,District 16,TRS,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,1,0,42.36,0,0,1,1,1,2,-1,0,0,0,District 8,TRS,Corporate Income,1
0,0,1,0,0,0,0,0,0,0,0,0,9538.38,0,0,1,1,1,2,330,0,0,1,District 1,PAR,Corporate Income,1
0,0,1,0,0,0,0,0,0,0,0,0,2076.3,0,0,1,1,1,2,6,0,0,1,District 1,COR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,114.08,0,0,2,2,0,2,-1,2,0,0,District 2,PAR,Corporate Income,1
0,0,1,0,0,0,0,1,0,0,0,0,1732.86,0,0,2,2,2,2,132,0,0,1,District 2,SCO,Corporate Income,0
0,1,1,0,0,0,0,1,0,0,0,0,3853.95,0,0,2,2,2,2,1,0,0,1,District 2,COR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,65.25,0,0,3,3,0,2,-1,3,0,0,District 0,SCO,Corporate Income,1
1,0,0,1,1,0,0,1,0,0,0,0,485.82,832.33,606.62,3,2,0,2,-1,3,0,0,District 2,SCO,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,40186.95,0,0,3,2,0,2,-1,3,0,0,District 2,PAR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,128,0,0,3,1,0,2,3,3,0,1,District 7,SCO,Corporate Income,1
0,0,0,1,1,0,0,1,0,0,0,0,6460.3,0,0,3,2,0,2,1,3,0,1,District 7,SCO,Corporate Income,0
0,0,0,0,3,0,1,0,0,0,0,7414.66,8546.77,0,0,3,3,1,2,830,2,0,1,District 0,COR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,178.24,0,0,3,2,2,2,333,1,0,1,District 0,SCO,Corporate Income,1
0,0,0,1,1,0,0,0,0,0,0,0,60743.61,0,0,4,3,0,2,1815,4,0,1,District 1,COR,Corporate Income,0
0,0,0,1,0,0,0,1,0,0,0,0,70.68,0,0,4,3,0,2,48,4,0,1,District 16,COR,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,200.28,0,0,4,4,0,2,1707,4,0,1,District 16,SCO,Corporate Income,1
1,0,0,0,3,0,0,0,0,0,1,41715.47,6415.15,3193.58,137.59,4,2,1,2,760,3,0,1,District 1,COR,Corporate Income,0
1,1,0,0,0,0,0,0,0,0,0,0,5165.06,85.81,85.81,4,2,2,2,119,2,0,1,District 1,COR,Corporate Income,1
1,0,0,1,0,0,0,1,0,0,0,0,112.43,586.27,117.83,5,2,0,2,510,5,0,1,District 16,COR,Corporate Income,0
0,0,0,0,0,0,0,0,0,0,0,0,209481.09,0,0,5,2,1,2,216,4,0,1,District 1,COR,Corporate Income,0
0,0,0,0,1,0,0,0,0,0,0,1322,12179.41,0,0,5,4,1,2,284,4,0,1,District 1,COR,Corporate Income,0
1,1,0,0,0,0,0,1,0,0,1,0,23358.93,947.02,624.39,6,2,1,2,-1,5,0,0,District 16,PAR,Corporate Income,0
0,0,0,0,0,0,0,1,0,0,0,0,587.02,0,0,6,5,1,2,108,5,0,1,District 2,SCO,Corporate Income,1
0,0,0,1,0,0,0,1,0,0,0,0,128.92,0,0,2,2,0,2,71,2,0,1,District 1,IND,Sales,1
0,0,0,1,1,0,0,0,0,0,0,599373,20498.9,0,0,3,2,0,2,139,3,0,1,District 1,COR,Sales,0
