fblnPhone,fcurCreditAmount,fcurPercentOfIncome,flngAge,flngDependents,flngExistingLoans,flngMonthsloanDuration,flngYearsAtResidence,fstrCheckingBalance,fstrCreditHistory,fstrEmploymentDuration,fstrHousing,fstrJob,fstrPurpose,fstrSavingsBalance,fblnDefault
1,1169,4,67,1,2,6,4,< 0 DM,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,5951,2,22,1,1,48,2,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
0,2096,2,49,2,1,12,3,unknown,critical,4 - 7 years,own,unskilled,education,< 100 DM,0
0,7882,2,45,2,1,42,4,< 0 DM,good,4 - 7 years,other,skilled,furniture/appliances,< 100 DM,0
0,4870,3,53,2,2,24,4,< 0 DM,poor,1 - 4 years,other,skilled,car,< 100 DM,1
1,9055,2,35,2,1,36,4,unknown,good,1 - 4 years,other,unskilled,education,unknown,0
0,2835,3,53,1,1,24,4,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,6948,2,35,1,1,36,2,1 - 200 DM,good,1 - 4 years,rent,management,car,< 100 DM,0
0,3059,2,61,1,1,12,4,unknown,good,4 - 7 years,own,unskilled,furniture/appliances,> 1000 DM,0
0,5234,4,28,1,2,30,2,1 - 200 DM,critical,unemployed,own,management,car,< 100 DM,1
0,1295,3,25,1,1,12,1,1 - 200 DM,good,< 1 year,rent,skilled,car,< 100 DM,1
0,4308,3,24,1,1,48,4,< 0 DM,good,< 1 year,rent,skilled,business,< 100 DM,1
1,1567,1,22,1,1,12,1,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,1199,4,60,1,2,24,4,< 0 DM,critical,> 7 years,own,unskilled,car,< 100 DM,1
0,1403,2,28,1,1,15,4,< 0 DM,good,1 - 4 years,rent,skilled,car,< 100 DM,0
0,1282,4,32,1,1,24,2,< 0 DM,good,1 - 4 years,own,unskilled,furniture/appliances,100 - 500 DM,1
0,2424,4,53,1,2,24,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,8072,2,25,1,3,30,3,< 0 DM,perfect,< 1 year,own,skilled,business,unknown,0
1,12579,4,44,1,1,24,2,1 - 200 DM,good,> 7 years,other,management,car,< 100 DM,1
1,3430,3,31,2,1,24,2,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,2134,4,48,1,3,9,4,unknown,critical,1 - 4 years,own,skilled,car,< 100 DM,0
0,2647,2,44,2,1,6,3,< 0 DM,good,1 - 4 years,rent,skilled,furniture/appliances,500 - 1000 DM,0
0,2241,1,48,2,2,10,3,< 0 DM,critical,< 1 year,rent,unskilled,car,< 100 DM,0
0,1804,3,44,1,1,12,4,1 - 200 DM,critical,< 1 year,own,skilled,car,100 - 500 DM,0
0,2069,2,26,1,2,10,1,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,unknown,0
1,1374,1,36,1,1,6,2,< 0 DM,good,1 - 4 years,own,unskilled,furniture/appliances,< 100 DM,0
0,426,4,39,1,1,6,4,unknown,perfect,> 7 years,own,unskilled,furniture/appliances,< 100 DM,0
0,409,3,42,1,2,12,3,> 200 DM,very good,1 - 4 years,rent,skilled,furniture/appliances,> 1000 DM,0
0,2415,3,34,1,1,7,2,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,6836,3,63,1,2,60,4,< 0 DM,poor,> 7 years,own,skilled,business,< 100 DM,1
1,1913,3,36,1,1,18,3,1 - 200 DM,good,< 1 year,own,skilled,business,> 1000 DM,0
0,4020,2,27,1,1,24,2,< 0 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,5866,2,30,1,2,18,2,1 - 200 DM,good,1 - 4 years,own,skilled,car,100 - 500 DM,0
0,1264,4,57,1,1,12,4,unknown,critical,> 7 years,rent,unskilled,business,unknown,0
1,1474,4,33,1,1,12,1,> 200 DM,good,< 1 year,own,management,furniture/appliances,< 100 DM,0
0,4746,4,25,1,2,45,2,1 - 200 DM,critical,< 1 year,own,unskilled,furniture/appliances,< 100 DM,1
1,6110,1,31,1,1,48,3,unknown,critical,1 - 4 years,other,skilled,education,< 100 DM,0
0,2100,4,37,1,1,18,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
1,1225,2,37,1,1,10,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,458,4,24,1,1,9,3,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,2333,4,30,1,1,30,2,unknown,good,> 7 years,own,management,furniture/appliances,500 - 1000 DM,0
1,1158,3,26,1,1,12,1,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,6204,2,44,2,1,18,4,1 - 200 DM,poor,1 - 4 years,own,unskilled,renovations,< 100 DM,0
0,6187,1,24,1,2,30,4,< 0 DM,critical,4 - 7 years,rent,skilled,car,100 - 500 DM,0
0,6143,4,58,1,2,48,4,< 0 DM,critical,> 7 years,other,unskilled,car,< 100 DM,1
0,1393,4,35,1,2,11,4,unknown,critical,< 1 year,own,management,car,< 100 DM,0
0,2299,4,39,1,1,36,4,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,1352,1,23,1,1,6,2,< 0 DM,good,unemployed,rent,unemployed,car,500 - 1000 DM,0
0,7228,1,39,1,2,11,4,unknown,critical,1 - 4 years,own,unskilled,car,< 100 DM,0
0,2073,4,28,1,1,12,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,100 - 500 DM,0
0,2333,4,29,1,1,24,2,1 - 200 DM,poor,< 1 year,own,unskilled,furniture/appliances,unknown,0
1,5965,1,30,1,2,27,2,1 - 200 DM,poor,> 7 years,own,management,car,< 100 DM,0
0,1262,3,25,1,1,12,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,3378,2,31,1,1,18,1,unknown,good,1 - 4 years,own,skilled,car,unknown,0
1,2225,4,57,1,2,36,4,1 - 200 DM,poor,> 7 years,other,skilled,car,< 100 DM,1
0,783,1,26,2,1,6,2,unknown,very good,1 - 4 years,own,unskilled,car,unknown,0
1,6468,2,52,1,1,12,1,1 - 200 DM,good,unemployed,own,management,furniture/appliances,unknown,1
0,9566,2,31,1,2,36,2,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
