fblnAddressMismatch,fblnApplyRefundToNextYear,fblnCheck,fblnCorrectedW2,fblnDifferentRoutingNumber,fblnEITCFraud,fblnEmail,fblnEntityVariance,fblnEstimatedPayment,fblnForeignIP,fblnForeignIPState,fblnFraud,fblnHiRiskPrePaidDebitCard,fblnHiRiskPrePaidDebitCardState,fblnHiRiskRoutingNumber,fblnHiRiskRoutingNumberState,fblnIDAlreadyFiled,fblnIncomeBelowTaxThreshold,fblnIRAOrPension,fblnItemized,fblnMobileIP,fblnMobileIPState,fblnNonResident,fblnOutOfStateIP,fblnOutOfStateIPState,fblnPartYear,fblnPossiblyMilitary,fblnPriorFraudAtAddress,fblnPriorFraudWithBankAccount,fblnPriorFraudWithBankAccountState,fblnPriorFraudWithID,fblnPriorFraudWithPreparer,fblnPriorUIFound,fblnPrivateIP,fblnPrivateIPState,fblnRefundChannelChange,fblnRoundedIncomeEndsWith0s,fblnRoundedIncomeEndsWith0sState,fblnSpouseExists,fblnSSN,fblnSuspiciousDeviceID,fblnSuspiciousEmail,fblnSuspiciousIP,fblnSuspiciousIPState,fblnSuspiciousOccupation,fblnSuspiciousPreparerID,fblnSuspiciousRouting,fblnSuspiciousRoutingState,fblnThirdPartyDesignee,fblnUsedAPreparer,fblnValidRoutingNumber,fblnValidRoutingNumberState,fblnW2RetirementPlan,fblnW2StatutoryEmployee,fblnW2ThirdPartySickPay,fblnWagesMismatchUIWages,fint2106Count,fint2441Count,fint8582Count,fint8812Count,fint8829Count,fint8863Count,fint8880Count,fintAFIBankProductCode,fintAge,fintDeductionCount,fintDependentCount,fintDependentCountState,fintEntityDataStoreCount,fintEntityFilingPeriodCount,fintFundContributionCount,fintIPVersion,fintIPVersionState,fintIssueCount,fintNonrefundableCreditCount,fintNumberOfChildrenLivedWith,fintPeriodCount,fintPriorYearRefundCount,fintRefundVariance,fintSchedCCount,fintSchedDCount,fintSchedECount,fintSchedFCount,fintW2Count,fintW2CountState,fintW2InStateCount,fintW2ThreeYearCount,fintW2ThreeYearEmployerCount,fintWithholdingVariance,fintAdjustmentCount,fintDaysReceivedBeforeDue,fintEntityCountCalc,fintEntityCountState,fintFilingYear,flngFSISubmissionTimeSpan,flngGroupCode,flngSoftwareID,fdbl2106Deprecation,fdbl2106EZVehicleExpenses,fdbl2106VehicleExpenses,fdbl2441Paid,fdbl2441QualityCareExpenses,fdbl8812ChildTaxCredit,fdbl8863AmericanOpportExpenses,fdbl8863LifeLearningExpenses,fdbl8880AdditionalPrimaryIRA,fdbl8880AdditionalSpouseIRA,fdblAdditionalChildTaxCredit,fdblAGI,fdblAGIState,fdblAGILessWages,fdblAGILessWagesState,fdblAGIToIncome,fdblAGIToIncomeState,fdblAlimonyReceived,fdblAllIncome,fdblAllIncomeState,fdblAlternativeMinimumTax,fdblAmericanOpportunityCredit,fdblBusinessIncome,fdblBusinessIncomeLoss,fdblBusinessIncomeToAllIncome,fdblCapitalGainLoss,fdblChildTaxCredit,fdblEducationCredit,fdblEducatorExpenses,fdblEITC,fdblEstimatedTaxPayments,fdblExemptions,fdblFAGI,fdblFarmIncome,fdblHSADeduction,fdblIDTheft,fdblIDTheftScore,fdblIRADeduction,fdblIRADistributions,fdblItemized,fdblItemizedOrStandardDeduct,fdblMortgageInterestPaidOther,fdblMovingExpenses,fdblNetFarmProfit,fdblOrdinaryDividends,fdblOtherBusinessExpenses,fdblOtherProfit,fdblOtherTaxCredit,fdblOverallScore,fdblPensionAnnuities,fdblQ1UIWages,fdblQ2UIWages,fdblQ3UIWages,fdblQ4UIWages,fdblRefund,fdblRefundState,fdblRefundToIncome,fdblRefundToIncomeState,fdblRentalRealEstate,fdblResidentialEnergyCredit,fdblRetiredSavingsCredit,fdblSchedA1098MortgageInterest,fdblSchedA1098PtsNotReported,fdblSchedACasualtyLoss,fdblSchedACharityContributions,fdblSchedAEmployeeExpenses,fdblSchedAGifts,fdblSchedAInvestmentInterest,fdblSchedAMedicalDentalExpense,fdblSchedAMortgageInsurPrem,fdblSchedAMortgageInterest,fdblSchedAOtherExpenses,fdblSchedAOtherTaxes,fdblSchedAOtherThanCash,fdblSchedAPersonalPropertyTax,fdblSchedAPriorYearCarryOver,fdblSchedARealEstateTax,fdblSchedAStateAndLocalTax,fdblSchedATaxPreparationFees,fdblSchedATotalInterestPaid,fdblSchedATotalJobExpenses,fdblSchedATotalTaxesPaid,fdblSchedCAdvertising,fdblSchedCBusinessPropertyRent,fdblSchedCCarAndTruckExpenses,fdblSchedCCommissionFees,fdblSchedCContractLabor,fdblSchedCCostOfGoodsSold,fdblSchedCDepletion,fdblSchedCDepreciationSect179,fdblSchedCEmployeeBenefits,fdblSchedCGrossIncome,fdblSchedCGrossProfit,fdblSchedCHomeBusinessExpenses,fdblSchedCInsurance,fdblSchedCMachineryEquipment,fdblSchedCMealsEntertainment,fdblSchedCMortgageInterest,fdblSchedCNetGrossReceipts,fdblSchedCNetProfit,fdblSchedCOfficeExpenses,fdblSchedCOtherIncome,fdblSchedCPensionProfitShare,fdblSchedCProfessionalServices,fdblSchedCRepairsMaintenance,fdblSchedCReturnsAndAllowances,fdblSchedCSupplies,fdblSchedCTaxesAndLicenses,fdblSchedCTotalCosts,fdblSchedCTotalExpenses,fdblSchedCTotalGrossReceipts,fdblSchedCTotalOtherExpenses,fdblSchedCTravel,fdblSchedCUtilities,fdblSchedCWagesLessEmployee,fdblSchedDLongTermSalesPrice,fdblSchedDShortTermSalesPrice,fdblSchedETotalDepreciation,fdblSchedFCarAndTruckExpenses,fdblSchedFDepreciationSect179,fdblSchedFNetFarmProfit,fdblSchedFTotalExpenses,fdblSelfEmployedDeduction,fdblSelfEmployedHealthInsur,fdblSelfEmployedPension,fdblSelfEmployedTax,fdblSocialSecurityBenefits,fdblStateRefund,fdblSuspiciousIncrements,fdblTaxableInterest,fdblTaxableIRA,fdblTaxDue,fdblTaxDueToIncome,fdblTaxExemptInterest,fdblTotalAdjustments,fdblTotalAdjustmentsState,fdblTotalAlimonyPaid,fdblTotalCredits,fdblTotalCreditsState,fdblTotalIncome,fdblTotalIncomeState,fdblTotalOtherIncome,fdblTotalPayments,fdblTotalPaymentsState,fdblTotalTax,fdblTotalTaxablePensions,fdblTotalUIWages,fdblTuitionFeesDeduction,fdblUnemploymentCompensation,fdblW2AllocatedTips,fdblW2DependentCareBenefit,fdblW2EmployersUse,fdblW2LocalIncomeTax,fdblW2LocalWagesAndTips,fdblW2MedicareTaxWithheld,fdblW2MedicareWagesAndTips,fdblW2NonqualifiedPlans,fdblW2SocialSecurityTax,fdblW2SocialSecurityTips,fdblW2SocialSecurityWages,fdblW2StateIncomeTax,fdblW2StateWages,fdblW2Wages,fdblW2Withholding,fdblWages,fdblWagesState,fdblWagesToUIWages,fdblWithholding,fdblWithholdingState,fdblWithholdingLessRefund,fdblWithholdingLessRefundState,fdblWithholdingToWages,fdblWithholdingToWagesState,fintSelectionBias
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,11,6,0,4,4,9,1,0,2,2,3,0,0,0,0,1,1,1,4,1,3,1,213,41,30,2017,40748,0,0,0,0,0,0,0,0,0,0,0,0,0,11180,11180,0,0,1,1,0,11180,11180,0,0,0,0,0,0,0,0,0,0,0,0,11180,0,0,0.4166667,0.52,0,0,0,0,0,0,0,0,0,0,8,0.52,0,0,0,0,0,1057,272,0.09454383,0.02432916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,452,0,6180,0,1136,0,188,0,0,0,0,0,0,0,0,0,162,11180,0,693,0,11180,452,11180,11180,1136,11180,11180,0,1136,452,79,180,0.10161,0.04042934,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,4,4,9,1,0,1,1,3,0,0,0,0,1,2,2,4,4,3,1,227,27,19,2016,24405,0,0,0,0,0,0,0,0,0,0,0,0,0,10538,10538,0,0,1,1,0,10538,10538,0,0,0,0,0,0,0,0,0,0,0,0,10538,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,8,0.32,0,0,0,1516.25,1760,1024,351,0.09717214,0.03330803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,500,0,5538,0,1043,0,157,0,3276.25,0,0,0,0,0,0,0,153,10538,0,653,0,10538,500,10538,10538,1043,10538,10538,3.216482,1043,500,19,149,0.09897514,0.04744733,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,4,9,1,0,0,0,3,0,0,0,0,1,3,3,8,7,3,1,256,32,23,2016,138,0,0,0,0,0,0,0,0,0,0,0,0,0,12267,12267,0,0,1,1,0,12267,12267,0,0,0,0,0,0,0,0,0,199,0,0,12267,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,8,0.84,0,3888,1624.99,115.13,0,2751,583,0.2242602,0.04752588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,820,0,7267,0,2942,0,245,0,5628.12,0,0,0,0,0,0,0,88,12267,0,220,0,12267,820,12267,12267,2743,12267,12267,2.179591,2743,820,-8,237,0.223608,0.06684601,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,0,4,4,9,0,1,1,0,3,0,0,0,0,3,2,2,2,2,3,3,241,36,28,2016,56,0,0,0,0,0,0,0,0,0,0,0,0,0,6933,6933,0,0,1,1,0,6933,6933,0,0,0,0,0,0,0,0,0,2355,0,8100,6933,0,0,0,0.47,0,0,0,6300,0,0,0,0,0,0,0,0.5,0,0,1594.98,4454.3,0,2853,258,0.4115102,0.03721333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,258,6933,-1067,0,2853,0,0,0,6049.28,0,0,0,0,0,0,0,52,3553,0,220,0,3553,164,3553,3553,360,6933,6933,1.146087,498,258,-2355,0,0.07183038,0.03721333,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,9,1,0,0,0,3,0,0,0,0,2,1,1,2,1,3,2,240,8,5,2016,25813,0,0,0,0,0,0,0,0,0,0,0,0,0,5351,5351,0,0,1,1,0,5351,5351,0,0,0,0,0,0,0,0,0,411,0,0,5351,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,3,0.71,0,1510.84,0,0,0,664,112,0.124089,0.02093067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,112,0,351,0,664,0,3,0,1510.84,0,0,0,0,0,0,0,22,1511,0,94,0,1511,112,1511,1511,253,5351,5351,3.541739,253,112,-411,0,0.04728088,0.02093067,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,18,0,4,4,9,1,0,10,6,3,0,0,0,0,2,1,1,12,9,3,2,252,173,161,2017,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8552,8552,0,0,1,1,0,8552,8552,0,0,0,0,0,0,0,0,0,492,0,0,8552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,591,32,0.06910664,0.003741815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,95,0,3552,0,591,0,77,0,0,0,0,0,0,0,0,0,33,2268,0,141,0,2268,40,2268,2268,99,8552,8552,0,99,95,-492,63,0.01157624,0.01110851,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,9,0,4,4,9,1,0,2,2,3,0,0,0,0,4,3,3,14,12,3,4,253,59,50,2017,25790,0,0,0,0,0,0,0,0,0,0,0,0,0,9712,9712,0,0,1,1,0,9712,9712,0,0,0,0,0,0,0,0,0,0,0,0,9712,0,0,0.5,0.54,0,0,0,0,0,0,0,0,0,0,14,0.54,0,0,0,0,0,776,311,0.07990115,0.03202224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,420,0,4712,0,776,0,123,0,0,0,0,0,0,0,0,0,24,1630,0,101,0,1630,7,1630,1630,154,9712,9712,0,776,420,0,109,0.07990115,0.04324547,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,4,5,0,4,4,10,1,2,1,0,3,0,0,0,0,3,6,6,7,5,3,3,238,23,19,2016,574,0,0,0,0,0,0,0,2000,0,0,0,0,1263,11419,11419,0,0,1,1,0,11419,11419,0,0,0,0,0,0,0,0,0,4570,0,12150,11419,0,0,0.5,0,0,0,0,9300,0,0,0,0,0,0,4,0,0,1847.05,1866.78,1728.34,938.6,6944,155,0.6081093,0.01357387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,155,11419,419,0,6944,0,4,0,6380.77,0,0,0,0,0,0,0,7,456,0,28,0,456,0,456,456,0,11419,11419,1.789596,1111,155,-5833,0,0.09729398,0.01357387,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,4,4,9,0,0,3,0,3,0,0,0,0,1,0,0,4,2,3,1,242,125,110,2016,66,0,0,0,0,0,0,0,0,0,0,0,0,0,1974,1974,0,0,1,1,0,1974,1974,0,0,0,0,0,0,0,0,0,151,0,0,1974,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,915.99,0,0,233,34,0.1180344,0.01722391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,34,0,-3026,0,233,0,0,0,915.99,0,0,0,0,0,0,0,1974,29,0,122,0,1974,34,1974,1974,82,1974,1974,2.155045,82,34,-151,0,0.04154002,0.01722391,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,4,4,10,1,0,3,0,3,0,0,0,0,3,3,3,7,4,3,3,230,42,34,2016,22904,0,0,0,0,0,0,0,0,0,0,0,0,0,9792,9792,0,0,1,1,0,9792,9792,0,0,0,0,0,0,0,0,0,0,0,0,9792,0,0,0.4166667,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4688.49,5748.49,2754.2,2000.72,425,177,0.04340278,0.01807598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,285,0,4792,0,425,0,122,0,15191.9,0,0,0,0,0,0,0,2,145,0,9,0,145,134,145,145,5,9792,9792,0.644554,425,285,0,108,0.04340278,0.02910539,0
