flngAuditYear,fstrFiling,fstrClassification,fintPreviousAudits,fstrIndustry,flngSiteCount,fcurTotalReceipts,fcurTaxableReceipts,fdblFoodSalesPercent,fdblLiquorSalesPercent,fdblDeductionsToReceipts,fdblResaleToReceipts,fcurInterstateToReceipts,fcurSalesTax,fcurUseTax,fcurAverageWages,flngCollectCount,flngYearsOpen,flngEmployeeCount,fdblReceiptsChangePercent,fdblUseTaxChangePercent,fblnHasWTHAccount,fblnHasCITAccount,fcurCITTotalIncome,fblnSmallBusiness,fblnInState,fblnNonFiler,fblnTargetOver150PerHour,flngAccountKey
2008,Monthly,4,1,Unknown,1,128524.074,119620,0.1,0,0.3,0,0,6412.9259,0,0,0,1,0,0,0,1,1,3216,1,1,0,1,5209
2016,Monthly,4,0,Manufacturing,1,4783870.167,7561,0,0,1,0.4,0,348.738,0,884960.595,1,36,122,0,0,1,1,3114799,1,1,0,1,5210
2012,Annual,4,0,Unknown,1,30918.4848,6529,0,0,0.2,0,0,1578.3636,0,14883,0,1,0,0,0,1,1,7571824.5,1,0,0,0,5211
2010,Annual,2,0,Unknown,1,4765.0344,46566,0,0,0.1,0,0,275.3793,5697.0344,0,0,0,0,0,0,0,1,0,1,0,1,0,5212
2011,Monthly,4,0,Unknown,1,47722.421,43966,0,0,0.1,0,0,4281.2631,0,8000,1,1,3,0,0,1,1,0,1,1,0,1,5213
2014,Annual,3,0,Wholesale,1,378424.2857,228,0,0,1,0,0,50.35,0,0,0,39,0,-0.4,0,0,1,0,1,0,0,0,5214
2013,Annual,4,0,Unknown,1,4581930.669,682047,0,0,0.9,0,0.1,46684.0758,103.0827,1386203.813,0,33,125,-0.1,-0.6,1,1,3704303,1,1,0,1,5215
2013,Annual,4,0,Retail,1,460600.9019,40173,0,0,1,0,0.4,741.5294,0,54176.355,2,3,0,0,0,1,1,0,1,1,0,1,5216
2016,Monthly,4,0,Unknown,1,29971.4318,27441,0.9,0,0,0,0,582.0681,0,3555.2383,1,2,1,0,0,1,0,0,1,1,0,0,5217
2013,Annual,4,1,Unknown,4,329374.248,45584,0,0,0.9,0,0,3527.8589,0,127422.03,1,13,37,0.1,0,1,1,-561.5,1,0,0,1,5218
2010,Monthly,4,0,Unknown,1,55257.3076,55295,0,0,0.1,0,0.1,3192.8461,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5219
2011,Monthly,3,0,Unknown,1,0,0,0,0,0,0,0,0,0,8342.532,1,1,5,0,0,1,1,159184,1,0,1,1,5220
2010,Quarterly,3,0,Unknown,1,65676.909,1966,0,0,0.9,0,0,357.7272,0,0,0,47,0,-0.1,0,0,0,0,1,0,0,0,5221
2014,Monthly,4,0,Unknown,4,12976.5,11470,0,0,0,0,0,1018.1666,0,0,0,0,165,0,0,1,1,0,1,1,1,0,5222
2016,Monthly,2,1,Technology,1,704521.284,0,0,0.1,1,0,0,0,693.3295,1271350.95,4,7,47,1,-0.4,1,1,0,1,0,0,0,5223
2010,Monthly,4,1,Unknown,1,16552.7222,1607.08,0,1,0.1,0,0,1316.093,0,0,0,15,0,0,0,1,1,205319.5,1,1,0,1,5224
2011,Monthly,4,0,Unknown,1,30695.6036,26294,0.2,0,0.1,0,0,1637.4684,0,6722.5787,2,7,0,-0.1,0,1,1,-5027.5,1,0,0,1,5225
2012,Monthly,4,0,Unknown,1,72587.748,15945,0,0,0.4,0,0,2761.3435,0,14883,2,34,4,-0.1,0,1,0,0,1,1,0,1,5226
2010,Monthly,3,0,Unknown,1,52052.8333,23670,0,0,0.6,0,0,1331.1018,0,73092.3612,0,31,6,-0.2,0,1,1,544104,1,0,0,0,5227
2013,Monthly,2,0,Construction,1,0,0,0,0,0,0,0,0,662.6328,953990.6837,1,18,66,0,-0.1,1,1,1040797,1,0,0,1,5228
2009,Monthly,4,0,Unknown,1,114480.1935,88155,0,0,0.1,0,0,8864.1612,14.0967,4510,0,0,27,0,0,1,1,0,1,0,1,0,5229
2009,Monthly,4,1,Unknown,1,83737.4492,41711,0,0,0.5,0,0,3580.2753,0,0,0,4,0,0,0,0,1,3603.5,1,1,0,1,5230
2010,Monthly,3,0,Unknown,1,3541709.698,12536,0,0,1,0,0,725.0743,0,25590.2912,0,16,1,0.3,0,1,1,19085120.5,1,0,0,0,5231
2016,Monthly,4,0,Retail,1,28994.1159,27598,0,0,0.4,0.1,0.1,1370.5952,0,11357.2337,0,3,2,0,0,1,0,0,1,1,0,0,5232
2015,Monthly,4,0,Unknown,1,50467.1379,114852,0,0,0.1,0,0,3860.2413,26.2068,0,0,1,8,0,0,0,0,0,1,1,0,0,5233
2012,Annual,4,0,Unknown,12,2731462.944,46250,0,0,1,0,0,4335.616,1998.832,3188285.538,1,76,0,34.1,0.5,1,0,0,1,0,0,0,5234
2010,Monthly,4,1,Unknown,1,9797.3106,5263,0,0.6,0.1,0,0,794.932,0,1800,0,28,0,0.4,0,1,1,-1548,1,1,0,1,5235
2009,Annual,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,355565.4487,0,0,25,0,0,1,1,88510,1,1,1,1,5236
2010,Monthly,4,0,Unknown,1,3863.1578,0,0,0,0.1,0,0,286.1315,0,0,0,3,0,0,0,0,0,0,1,0,0,0,5237
2011,Monthly,4,0,Unknown,1,1108583.077,73700,0,0,0.9,0.1,0,5636.0576,1041.017,836017.355,0,38,52,-0.2,-0.1,1,1,404829.5,1,1,0,1,5238
2014,Monthly,4,0,Retail,1,64214.415,15503,0,0,0.7,0.6,0,1282.3584,0,0,0,3,0,-0.2,0,0,1,0,1,0,0,0,5239
2012,Monthly,4,0,Unknown,1,12354.75,0,0,0,1,0,0,0,0,14883,0,25,0,1,0,1,1,949010,1,1,0,0,5240
2015,Monthly,4,0,Unknown,1,65434.3658,12303,0.5,0,0.5,0,0,839.1219,0,3900,2,1,3,0,0,1,1,0,1,1,0,0,5241
2010,Monthly,4,1,Unknown,1,799835.9708,103929,0,0,1,0.3,0,2565.864,382.2233,576814.4237,0,22,89,-0.2,-0.2,1,1,80349.5,1,0,0,0,5242
2011,Monthly,4,0,Unknown,1,91916.6916,6220,0,0,0.9,0,0,409.2666,0,42491.1675,0,35,6,-0.1,0,1,1,18175.5,1,1,0,0,5243
2010,Annual,2,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,5244
2012,Monthly,4,0,Unknown,1,563455.6056,79306,0,0,0.7,0,0,11439.3661,0,14883,4,3,0,-0.1,0,1,0,0,1,1,0,0,5245
2014,Monthly,4,2,Wholesale,2,4925124.333,21372,0,0,1,0.4,0,4374.545,3302.8985,12264050.56,2,9,0,-0.1,-0.3,1,1,0,1,1,0,0,5246
2013,Monthly,1,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5247
2010,Monthly,3,1,Unknown,1,139594.2941,223676,0,0,0.1,0,0,11160.1444,166.1666,235368.75,0,8,6,-0.1,1.9,1,1,0,1,1,0,0,5248
2012,Monthly,4,1,Unknown,1,825680.5267,237216,0,0,0.9,0,0,5889.5896,8.2213,928249.8262,0,11,45,0.3,29.8,1,1,465680.5,1,0,0,1,5249
2016,Monthly,4,0,Retail,1,112931.8333,67912,0,0,0.2,0,0,7070.7888,0,12750,0,6,3,0.2,0,1,1,2246,1,1,0,0,5250
2013,Monthly,4,2,Unknown,1,4860125.173,35089,0,0,1,0,0,3622.6783,196.4604,377674.2562,0,48,0,-0.1,-0.6,1,1,0,1,0,0,1,5251
2012,Annual,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,5252
2014,Monthly,3,1,Wholesale,1,48264.0512,41596,0,0,0.4,0.1,0,1779.3782,0,170327.3262,2,27,4,-0.1,0,1,1,579263,1,0,0,0,5253
2012,Annual,1,0,Unknown,1,14871.8275,0,0,0,0.1,0.1,0,805.931,0,14883,0,0,0,0,0,1,1,0,1,0,1,0,5254
2010,Monthly,4,0,Unknown,1,33699.2745,19107,0,0,0.5,0,0,1048.7058,0,37483.4575,0,8,5,0,0,1,1,-3864.5,1,1,0,0,5255
2015,Quarterly,1,0,Unknown,1,42161.5,7010,0,0,0.9,0,0,288.1428,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5256
2012,Monthly,4,1,Unknown,1,85366.1889,39396,0,0,0.5,0,0,3509.9133,0,80517.6962,1,49,4,0.1,0,1,1,80829,1,1,0,1,5257
2013,Monthly,4,0,Unknown,1,16.3636,0,0,0,0.1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,1,0,5258
2010,Monthly,4,0,Unknown,1,103421.9428,377,0,0,0.5,0,0,3535.6571,0,0,0,0,17,0,0,1,1,0,1,1,0,0,5259
2013,Monthly,4,0,Unknown,1,255570.1333,70277,0,0,0.7,0.2,0,6331.1111,0,218403.2575,1,1,71,0,0,1,1,-62047,1,1,0,1,5260
2010,Monthly,4,0,Unknown,1,29270.5,1326,0,0,0.5,0,0,1076.3611,0,27020.8287,1,15,0,0.2,0,1,1,-81059.5,1,1,0,0,5261
2009,Monthly,4,1,Unknown,2,225988.6216,204720.41,0.1,0.1,0.1,0,0,10964.8804,0,71393.875,0,4,13,-0.1,0,1,1,84994,1,1,0,1,5262
2013,Monthly,4,0,Retail,1,117166.4255,22133,0,0,0.9,0.2,0.5,718.5319,0,12214.2857,0,6,3,-0.4,0,1,1,73046,1,1,0,0,5263
2010,Monthly,4,0,Unknown,1,3885.9655,0,0,0,0.1,0,0,222.6896,0,0,0,0,10,0,0,1,1,31478,1,1,1,1,5264
2012,Monthly,4,0,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-11731.5,1,1,1,0,5265
