fblnSTCLCFirstTimeFiler,fblnSTCLCHiRiskRouting,fblnSTEmail,fblnSTEstimatedPayment,fblnSTFS_Single,fblnSTIPMobile,fblnSTIPNotUS,fblnUINoNameMatch,fcurMeFBusinessIncomeLoss,fcurMeFRefund,fcurMeFSchA1098MortIntNot,fcurMeFSchACasualtyTheftLoss,fcurMeFSchCCommissionsFees,fcurMeFSchCDeprAndSect179,fcurMeFSchCGrossIncome,fcurMeFSchCMortIntPaidBanks,fcurMeFSchCNetGrossReceipts,fcurMeFSchCOfficeExpenses,fcurMeFSchETotDepreciation,fcurMeFSchFDeprSect179Ded,fcurMeFSchFTotalExpenses,fcurMeFSelfEmpHealthIns,fcurMeFW2AllocatedTips,fcurMeFW2LocalWagesAndTips,fcurMeFW2Wages,fcurSTAGI,fcurSTOtherTaxCredit,fcurSTTotalAdjustments,fcurZPIncome,fdblSTCLCSusPreparer,fintMeF8863Count,fintSTCLCRefundVar1,fintSTTPPeriodCount,flngCLCIssueCount,flngEntityRecordCount,fblnFraud
1,0,1,0,0,0,0,1,0,8157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37458,37458,0,0,34280,NULL,0,NULL,0,2,0,1
0,1,0,0,0,0,0,1,0,8054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71254,71254,0,-10892,61387,NULL,0,NULL,9,1,49,1
0,1,0,0,1,0,0,1,0,3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24236,22236,0,-2000,98424,NULL,0,NULL,2,1,34,1
1,1,0,0,0,0,0,1,0,6963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79000,151120,0,0,38721,NULL,0,NULL,0,3,3,1
1,NULL,1,0,1,0,0,1,0,1487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15324,15324,5,0,41965,NULL,0,NULL,0,1,41,1
0,0,0,0,0,0,0,1,0,5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27904,72107,0,0,50453,NULL,0,NULL,9,0,84,1
0,0,0,0,0,0,0,1,0,8210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19455,19455,15,0,97853,NULL,0,NULL,4,0,21,1
1,1,0,0,1,1,0,1,0,768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4145,4145,0,0,43958,NULL,0,NULL,0,2,31,1
0,0,1,0,1,0,0,1,0,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10777,10777,8,0,56475,NULL,1,NULL,6,0,72,1
1,NULL,1,0,0,0,0,1,3779,2559,0,0,0,0,19889,0,19889,0,0,0,0,0,0,0,18930,22442,0,0,34146,NULL,0,NULL,0,2,0,1
0,NULL,1,0,0,0,0,1,0,5532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,NULL,0,0,39519,NULL,0,NULL,2,0,16,1
0,1,0,0,0,0,0,1,0,12623,0,0,0,0,0,0,0,0,0,0,0,0,0,10994,10994,19655,10,0,36077,NULL,0,NULL,9,1,57,1
0,NULL,0,0,1,0,0,1,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5467,5467,0,0,20569,NULL,0,NULL,1,0,19,1
1,1,0,0,1,0,0,1,0,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15569,15569,5,0,29786,NULL,0,NULL,0,2,2,1
0,0,0,0,1,0,0,1,0,918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,10356,8,0,52194,NULL,0,NULL,1,0,18,1
0,0,0,0,0,0,0,1,0,5806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14335,14335,16,0,35096,NULL,0,NULL,6,0,74,1
0,1,0,0,1,1,0,1,0,1314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8464,8464,0,0,43474,NULL,0,NULL,1,1,11,1
1,0,0,0,0,1,0,1,0,4366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11237,10737,0,0,41256,NULL,0,NULL,0,0,3,1
0,0,0,0,1,0,0,1,0,2451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23511,31662,0,0,46319,NULL,0,NULL,5,0,54,1
1,1,0,0,1,1,0,1,0,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14982,14982,8,0,25280,NULL,1,NULL,0,2,9,1
0,1,0,0,1,0,0,1,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9446,9446,14,0,38721,NULL,0,NULL,3,1,65,1
0,1,0,0,1,0,0,1,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13740,13740,8,0,50819,NULL,0,NULL,8,1,46,1
0,0,1,0,1,0,0,1,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16755,16755,5,0,21570,NULL,1,NULL,2,0,30,1
0,0,0,0,1,0,1,1,0,3053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18985,18985,5,0,37762,NULL,1,NULL,4,2,35,1
0,NULL,0,0,0,0,0,1,15225,5995,0,0,0,0,15225,0,0,0,0,0,0,0,0,0,1424,15573,20,0,29331,NULL,0,NULL,7,0,35,1
0,0,0,0,0,0,0,1,0,4606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10369,10369,16,0,56282,NULL,0,NULL,1,0,31,1
0,0,1,0,1,0,0,1,0,1316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8784,8784,14,0,38721,NULL,0,NULL,2,0,23,1
1,1,0,0,1,0,0,1,0,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13580,13580,8,0,24116,NULL,0,NULL,0,2,10,1
0,1,0,0,1,0,0,1,0,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6442,6442,0,0,56799,NULL,1,NULL,4,1,21,1
1,0,1,0,1,0,0,1,0,1804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9049,8899,14,0,50115,NULL,1,NULL,0,1,13,1
0,1,1,0,0,0,0,1,0,2563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45814,45814,0,0,22400,NULL,0,NULL,1,1,52,1
0,1,1,0,0,0,0,1,0,4616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11276,5776,0,0,63030,NULL,0,NULL,3,1,18,1
0,0,1,0,1,0,0,1,-7336,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18171,10835,8,0,71013,NULL,0,NULL,8,0,69,1
0,1,1,0,0,0,0,1,0,9967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33495,98601,0,0,58429,NULL,0,NULL,9,1,838,1
0,1,0,0,0,0,0,1,0,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14536,21061,0,0,25812,NULL,1,NULL,4,1,60,1
0,1,1,0,1,1,0,1,0,1498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10200,10200,8,0,45074,NULL,0,NULL,2,1,5,1
0,1,0,0,1,0,0,1,0,2259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13533,13533,0,0,42710,NULL,1,NULL,1,1,5,1
0,1,0,0,1,0,0,1,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11439,11439,8,0,38721,NULL,0,NULL,4,1,33,1
0,0,0,0,1,0,0,1,0,1151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17595,17595,5,0,43750,NULL,0,NULL,1,0,12,1
1,1,1,0,0,1,0,1,4522,4132,0,0,0,0,4522,0,4522,0,0,0,0,0,0,0,5798,10000,16,0,55082,NULL,0,NULL,0,3,2,1
0,1,0,0,1,0,0,1,0,2584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15934,15934,5,0,46525,NULL,1,NULL,2,1,26,1
0,1,0,0,0,0,0,1,0,10369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21295,21295,0,0,36720,NULL,1,NULL,7,1,55,1
0,1,0,0,1,1,0,1,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7691,7691,20,0,41990,NULL,1,NULL,1,1,15,1
0,NULL,0,0,1,0,0,1,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11274,10278,0,0,50819,NULL,0,NULL,2,0,19,1
0,1,0,0,0,0,0,1,0,1349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2990,8963,14,0,68973,NULL,0,NULL,3,1,48,1
0,0,0,0,1,0,0,1,0,1670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18693,14693,0,-4000,32301,NULL,0,NULL,1,0,16,1
1,1,1,0,1,0,0,1,0,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9983,9983,28,0,25839,NULL,0,NULL,0,2,6,1
0,0,0,0,0,0,0,1,0,7291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14565,14565,0,0,38245,NULL,1,NULL,6,0,76,1
0,0,1,0,0,0,0,1,0,2719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,21069,0,0,33854,NULL,0,NULL,8,1,0,1
0,0,0,0,0,0,0,1,0,3396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29975,29975,0,0,35545,NULL,0,NULL,8,1,0,1
0,1,0,0,1,0,0,1,0,1436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12566,8566,8,-4000,23794,NULL,0,NULL,1,1,19,1
0,0,0,0,0,0,0,1,0,8594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12386,16986,15,0,31083,NULL,1,NULL,9,0,87,1
0,1,1,0,0,0,0,1,0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9187,9187,13,0,27587,NULL,0,NULL,1,1,14,1
0,0,0,0,1,0,0,1,0,2327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11450,11450,8,0,40443,NULL,0,NULL,3,0,60,1
0,0,1,0,0,0,0,1,0,7781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10747,NULL,0,0,37882,NULL,0,NULL,1,0,32,1
0,1,0,0,1,0,0,1,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5730,2983,0,-4000,37741,NULL,0,NULL,6,1,21,1
0,0,1,0,1,0,0,1,0,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8596,8596,14,0,44447,NULL,0,NULL,1,0,27,1
0,1,0,0,1,1,0,1,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11306,11306,8,0,65194,NULL,0,NULL,1,1,34,1
0,1,0,0,0,1,0,1,0,7479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192645,192645,0,0,80740,NULL,0,NULL,9,1,129,1
0,1,0,0,1,0,0,1,-1754,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2285,NULL,0,0,37375,NULL,1,NULL,1,1,30,1
0,0,0,0,0,0,0,1,0,6769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,19539,10,0,32363,NULL,1,NULL,8,0,25,1
0,0,1,0,1,1,0,1,0,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8641,4641,0,-4000,41990,NULL,0,NULL,6,0,51,1
1,1,0,0,1,0,0,1,0,2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13578,13578,8,0,30980,NULL,1,NULL,0,2,5,1
0,0,1,0,1,0,0,1,2743,3502,0,0,0,0,10744,0,10744,685,0,0,0,0,0,0,30493,33042,0,0,56799,NULL,0,NULL,4,0,38,1
0,1,0,0,1,0,0,1,0,4956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12673,12673,8,0,48263,NULL,1,NULL,4,1,18,1
1,NULL,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1562,1562,0,0,24128,NULL,0,NULL,0,1,7,1
1,1,1,0,1,0,0,1,0,1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36271,NULL,0,0,62571,NULL,0,NULL,0,1,1,1
0,0,0,0,1,0,0,1,0,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13094,13094,0,0,35652,NULL,0,NULL,3,0,23,1
0,1,0,0,1,1,0,1,0,2320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10782,10782,8,0,50115,NULL,1,NULL,6,1,53,1
1,0,1,0,0,0,0,1,0,4453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22099,22099,0,0,23608,NULL,0,NULL,0,1,5,1
1,1,0,0,1,0,0,1,0,4396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27923,27923,0,0,41243,NULL,1,NULL,0,4,0,1
0,1,0,0,1,0,0,1,0,1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5942,5942,11,0,23608,NULL,1,NULL,1,1,17,1
0,0,0,0,1,1,0,1,0,2049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30709,30709,0,0,23794,NULL,1,NULL,4,0,26,1
0,0,0,0,0,0,0,1,0,8941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18642,18642,15,0,53902,NULL,0,NULL,3,0,32,1
0,1,0,0,1,0,0,1,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14025,14025,8,0,74378,NULL,0,NULL,3,1,34,1
0,0,1,0,0,0,0,1,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23686,23686,0,0,36450,NULL,0,NULL,9,1,0,1
0,1,0,0,1,0,0,1,0,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16573,16573,5,0,21694,NULL,0,NULL,1,1,13,1
1,1,0,0,1,0,NULL,1,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13219,13219,8,0,55940,NULL,1,NULL,0,4,0,1
0,1,0,0,1,0,0,1,0,2542,0,0,0,0,0,0,0,0,0,0,0,0,0,53788,53788,53788,0,0,29331,NULL,0,NULL,4,1,34,1
